norm,description,citation,category,source,associated_embed,type
visual_lexical_rt_keuleers,The mean visual lexical decision latency (in msec) for a particular word across participants from the British Lexicon Project.,"Keuleers, E., et al. (2012). ""The British Lexicon Project: Lexical decision data for 28,730 monosyllabic and disyllabic English words."" Behavior Research Methods44(1): 287-304.",visual_lexical_decision,SCOPE,,numeric
visual_lexical_accuracy_balota,The proportion of accurate responses of visual lexical decision for a particular word from the English Lexicon Project.,"Balota, D. A., et al. (2007). ""The English lexicon project."" Behavior Research Methods39(3): 445-459.",visual_lexical_decision,SCOPE,,numeric
visual_lexical_accuracy_mandera,The proportion of accurate responses of visual lexical decision for a particular word from the English Crowdsourcing Project.,"Mandera, P., et al. (2019). ""Recognition times for 62 thousand English words: Data from the English Crowdsourcing Project."" Behavior Research Methods: 1-20.",visual_lexical_decision,SCOPE,,numeric
visual_lexical_accuracy_keuleers,The proportion of accurate responses of visual lexical decision for a particular word from the British Lexicon Project.,"Keuleers, E., et al. (2012). ""The British Lexicon Project: Lexical decision data for 28,730 monosyllabic and disyllabic English words."" Behavior Research Methods44(1): 287-304.",visual_lexical_decision,SCOPE,,numeric
auditory_lexical_rt_tucker,The mean auditory lexical decision latency (in msec) for a particular word from the Massive Auditory Lexical Decision database.,"Tucker, B. V., et al. (2019). ""The massive auditory lexical decision (MALD) database."" Behavior Research Methods51(3): 1187-1204.",auditory_lexical_decision,SCOPE,,numeric
auditory_lexical_rt_goh,The mean auditory lexical decision latency (in msec) for a particular word from the Auditory English Lexicon Project.,"Goh, W. D., et al. (2020). ""The Auditory English Lexicon Project: A multi-talker, multi-region psycholinguistic database of 10,170 spoken words and nonwords."" Behavior Research Methods: 1-30.",auditory_lexical_decision,SCOPE,,numeric
auditory_lexical_accuracy_tucker,The proportion of accurate responses of auditory lexical decision for a particular word from the Massive Auditory Lexical Decision database.,"Tucker, B. V., et al. (2019). ""The massive auditory lexical decision (MALD) database."" Behavior Research Methods51(3): 1187-1204.",auditory_lexical_decision,SCOPE,,numeric
auditory_lexical_accuracy_goh,The proportion of accurate responses of auditory lexical decision for a particular word from the Auditory English Lexicon Project.,"Goh, W. D., et al. (2020). ""The Auditory English Lexicon Project: A multi-talker, multi-region psycholinguistic database of 10,170 spoken words and nonwords."" Behavior Research Methods: 1-30.",auditory_lexical_decision,SCOPE,,numeric
naming_rt_balota,The mean naming latency (in msec) for a particular word across participants from the English Lexicon Project.,"Balota, D. A., et al. (2007). ""The English lexicon project."" Behavior Research Methods39(3): 445-459.",naming,SCOPE,,numeric
naming_accuracy_balota,The proportion of accurate responses of word naming for a particular word from the English Lexicon Project.,"Balota, D. A., et al. (2007). ""The English lexicon project."" Behavior Research Methods39(3): 445-459.",naming,SCOPE,,numeric
concreteness_rt_pexman,"The mean latency (in msec) of concrete/abstract semantic decision (i.e., does the word refer to something concrete or abstract?) for a particular word from the Calgary database.","Pexman, P. M., et al. (2017). ""The Calgary semantic decision project: concrete/abstract decision data for 10,000 English words."" Behavior Research Methods49(2): 407-417.",semantic_decision,SCOPE & lit_search,,numeric
concreteness_accuracy_pexman,"The proportion of accurate responses of concrete/abstract semantic decision (i.e., does the word refer to something concrete or abstract?) for a particular word from the Calgary database.","Pexman, P. M., et al. (2017). ""The Calgary semantic decision project: concrete/abstract decision data for 10,000 English words."" Behavior Research Methods49(2): 407-417.",semantic_decision,SCOPE & lit_search,,numeric
recognition_memory_accuracy_cortese,Recogntion memory performance indicated by hits minus false alarms.,"Cortese, M. J., Khanna, M. M., & Hacker, S. (2010). Recognition memory for 2,578 monosyllabic words. Memory, 18(6), 595-609; Cortese, M. J., McCarty, D. P., & Schock, J. (2015). A mega recognition memory study of 2897 disyllabic words. Quarterly Journal of Experimental Psychology, 68(8), 1489-1501; Khanna, M. M. and M. J. Cortese (2021). ""How well imageability, concreteness, perceptual strength, and action strength predict recognition memory, lexical decision, and reading aloud performance."" Memory: 1-15.",recognition_memory,SCOPE,,numeric
vision_binder,Vision ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
bright_binder,Bright ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
dark_binder,Dark ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
color_binder,Color ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
pattern_binder,Pattern ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
large_binder,Large ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
small_binder,Small ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
motion_binder,Motion ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,experiential_attributes,,numeric
biomotion_binder,Biomotion ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,experiential_attributes,,numeric
fast_binder,Fast ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
slow_binder,Slow ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
shape_binder,Shape ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
complexity_binder,Complexity ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
face_binder,Face ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,experiential_attributes,,numeric
body_binder,Body ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,experiential_attributes,,numeric
touch_binder,Touch ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",motor,experiential_attributes,,numeric
temperature_binder,Temperature ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
texture_binder,Texture ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
weight_binder,Weight ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
pain_binder,Pain ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,experiential_attributes,,numeric
audition_binder,Audition ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
loud_binder,Loud ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
low_binder,Low ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
high_binder,High ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
sound_binder,Sound ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
music_binder,Music ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
speech_binder,Speech ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,experiential_attributes,,numeric
taste_binder,Taste ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
smell_binder,Smell ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,experiential_attributes,,numeric
head_binder,Head ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",motor,experiential_attributes,,numeric
upper_limb_binder,UpperLimb ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",motor,experiential_attributes,,numeric
lower_limb_binder,LowerLimb ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",motor,experiential_attributes,,numeric
practice_binder,Practice ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",familiarity,experiential_attributes,,numeric
landmark_binder,Landmark ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
path_binder,Path ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
scene_binder,Scene ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
near_binder,Near ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
toward_binder,Toward ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
away_binder,Away ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
number_binder,Number ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
time_binder,Time ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
duration_binder,Duration ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
long_binder,Long ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
short_binder,Short ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
caused_binder,Caused ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
consequential_binder,Consequential ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,experiential_attributes,,numeric
social_binder,Social ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",social/moral,experiential_attributes,,numeric
human_binder,Human ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,experiential_attributes,,numeric
communication_binder,Communication ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",social/moral,experiential_attributes,,numeric
self_binder,Self ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",social/moral,experiential_attributes,,numeric
cognition_binder,Cognition ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,experiential_attributes,,numeric
benefit_binder,Benefit ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",social/moral,experiential_attributes,,numeric
harm_binder,Harm ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",social/moral,experiential_attributes,,numeric
pleasant_binder,Pleasant ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",valence,experiential_attributes,,numeric
unpleasant_binder,Unpleasant ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",valence,experiential_attributes,,numeric
happy_binder,Happy ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,experiential_attributes,,numeric
sad_binder,Sad ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,experiential_attributes,,numeric
angry_binder,Angry ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,experiential_attributes,,numeric
disgusted_binder,Disgusted ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,experiential_attributes,,numeric
fearful_binder,Fearful ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,experiential_attributes,,numeric
surprised_binder,Surprised ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,experiential_attributes,,numeric
drive_binder,Drive ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",goals/needs,experiential_attributes,,numeric
needs_binder,Needs ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",goals/needs,experiential_attributes,,numeric
attention_binder,Attention ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",arousal,experiential_attributes,,numeric
arousal_binder,Arousal ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",arousal,experiential_attributes,,numeric
goals_wilkowski,"Extent to which each word represents a goal of the participants, from -4 (""I have an extremely strong commitment to avoiding this"") to 0 (""I have no commitment to this"") to +4 (“Ihave an extremely strong commitment to this"")","Wilkowski, B. M., Fetterman, A., Lappi, S. K., Williamson, L. Z., Leki, E. F., Rivera, E., & Meier, B. P. (2020). Lexical derivation of the PINT taxonomy of goals: Prominence, inclusiveness, negativity prevention, and tradition. Journal of Personality and Social Psychology, 119(5), 1153.",goals/needs,lit_search,,numeric
familiarity_lynott,Proportion of participants that were familiar withthe meaning of the word (0-100%),"Lynott, D., & Connell, L. (2009). Modality exclusivity norms for 423 object properties. Behavior Research Methods, 41(2), 558–564.",familiarity,lit_search,,numeric
visual_lynott,Mean rating (0–5) of how strongly property is experienced by seeing,"Lynott, D., & Connell, L. (2009). Modality exclusivity norms for 423 object properties. Behavior Research Methods, 41(2), 558–564.",sensory,lit_search,,numeric
haptic_lynott,Mean rating (0–5) of how strongly property is experienced by feeling through touch,"Lynott, D., & Connell, L. (2009). Modality exclusivity norms for 423 object properties. Behavior Research Methods, 41(2), 558–564.",sensory,lit_search,,numeric
auditory_lynott,Mean rating (0–5) of how strongly property is experienced by hearing,"Lynott, D., & Connell, L. (2009). Modality exclusivity norms for 423 object properties. Behavior Research Methods, 41(2), 558–564.",sensory,lit_search,,numeric
olfactory_lynott,Mean rating (0–5) of how strongly property is experienced by smelling,"Lynott, D., & Connell, L. (2009). Modality exclusivity norms for 423 object properties. Behavior Research Methods, 41(2), 558–564.",sensory,lit_search,,numeric
gustatory_lynott,Mean rating (0–5) of how strongly property is experienced by tasting,"Lynott, D., & Connell, L. (2009). Modality exclusivity norms for 423 object properties. Behavior Research Methods, 41(2), 558–564.",sensory,lit_search,,numeric
dominant_modality_lynott,"Modality through which property is experienced most strongly (i.e., with highest strength rating)","Lynott, D., & Connell, L. (2009). Modality exclusivity norms for 423 object properties. Behavior Research Methods, 41(2), 558–564.",sensory,lit_search,,multiclass
imagery_toronto,"Ease with which word arouses mental images, where (1) is low imagery and (7) is high imagery","Friendly, M., Franklin, P. E., Hoffman, D., & Rubin, D. C. (1982). The Toronto Word Pool: Norms for imagery, concreteness, orthographic variables, and grammatical usage for 1,080 words. Behavior Research Methods & Instrumentation, 14(4), 375–399.",imageability,lit_search,,numeric
concreteness_toronto,"Level of abstraction, where (1) is abstract and (7) is concrete. ","Friendly, M., Franklin, P. E., Hoffman, D., & Rubin, D. C. (1982). The Toronto Word Pool: Norms for imagery, concreteness, orthographic variables, and grammatical usage for 1,080 words. Behavior Research Methods & Instrumentation, 14(4), 375–399.",concreteness,lit_search,,numeric
aoa_khanna,Participant esimate of the age of acquiring the word. 1-7 scale with lower number indicating younger and 7 indicating they do not know the word.,"Khanna, M. M., & Cortese, M. J. (2011). Age of acquisition estimates for 1,208 ambiguous and polysemous words. Behavior Research Methods, 43, 89–96.",age_of_acquisition,lit_search,,numeric
aoa_rt_khanna,Reaction time (milliseconds) for performing the aoa_khanna rating task. ,"Khanna, M. M., & Cortese, M. J. (2011). Age of acquisition estimates for 1,208 ambiguous and polysemous words. Behavior Research Methods, 43, 89–96.",semantic_decision,lit_search,,numeric
aoa_hollis,Value score ranging from 0 (youngest) to 1 (oldest) based on 4-tuple rating task. ,"Hollis, G., & Westbury, C. (2018). When is best-worst best? A comparison of best-worst scaling, numeric estimation, and rating scales for collection of semantic norms. Behavior Research Methods, 50, 115–133.",age_of_acquisition,lit_search,,numeric
