norm,description,citation,category,associated_embed,type,n_ratings
LexicalD_ACC_V_ECP,The proportion of accurate responses of visual lexical decision for a particular word from the English Crowdsourcing Project.,"Mandera, P., et al. (2019). ""Recognition times for 62 thousand English words: Data from the English Crowdsourcing Project."" Behavior Research Methods: 1-20.",visual_lexical_decision,,numeric,61851
LexicalD_ACC_V_BLP,The proportion of accurate responses of visual lexical decision for a particular word from the British Lexicon Project.,"Keuleers, E., et al. (2012). ""The British Lexicon Project: Lexical decision data for 28,730 monosyllabic and disyllabic English words."" Behavior Research Methods44(1): 287-304.",visual_lexical_decision,,numeric,28514
LexicalD_RT_A_MALD,The mean auditory lexical decision latency (in msec) for a particular word from the Massive Auditory Lexical Decision database.,"Tucker, B. V., et al. (2019). ""The massive auditory lexical decision (MALD) database."" Behavior Research Methods51(3): 1187-1204.",autidtory_lexical_decision,,numeric,26522
LexicalD_RT_A_AELP,The mean auditory lexical decision latency (in msec) for a particular word from the Auditory English Lexicon Project.,"Goh, W. D., et al. (2020). ""The Auditory English Lexicon Project: A multi-talker, multi-region psycholinguistic database of 10,170 spoken words and nonwords."" Behavior Research Methods: 1-30.",autidtory_lexical_decision,,numeric,10081
LexicalD_ACC_A_MALD,The proportion of accurate responses of auditory lexical decision for a particular word from the Massive Auditory Lexical Decision database.,"Tucker, B. V., et al. (2019). ""The massive auditory lexical decision (MALD) database."" Behavior Research Methods51(3): 1187-1204.",autidtory_lexical_decision,,numeric,26773
LexicalD_ACC_A_AELP,The proportion of accurate responses of auditory lexical decision for a particular word from the Auditory English Lexicon Project.,"Goh, W. D., et al. (2020). ""The Auditory English Lexicon Project: A multi-talker, multi-region psycholinguistic database of 10,170 spoken words and nonwords."" Behavior Research Methods: 1-30.",autidtory_lexical_decision,,numeric,10083
Naming_RT_ELP,The mean naming latency (in msec) for a particular word across participants from the English Lexicon Project.,"Balota, D. A., et al. (2007). ""The English lexicon project."" Behavior Research Methods39(3): 445-459.",naming,,numeric,40480
Naming_ACC_ELP,The proportion of accurate responses of word naming for a particular word from the English Lexicon Project.,"Balota, D. A., et al. (2007). ""The English lexicon project."" Behavior Research Methods39(3): 445-459.",naming,,numeric,40480
SemanticD_RT_Calgary,"The mean latency (in msec) of concrete/abstract semantic decision (i.e., does the word refer to something concrete or abstract?) for a particular word from the Calgary database.","Pexman, P. M., et al. (2017). ""The Calgary semantic decision project: concrete/abstract decision data for 10,000 English words."" Behavior Research Methods49(2): 407-417.",semantic_decision,,numeric,9999
SemanticD_ACC_Calgary,"The proportion of accurate responses of concrete/abstract semantic decision (i.e., does the word refer to something concrete or abstract?) for a particular word from the Calgary database.","Pexman, P. M., et al. (2017). ""The Calgary semantic decision project: concrete/abstract decision data for 10,000 English words."" Behavior Research Methods49(2): 407-417.",semantic_decision,,numeric,10000
Recog_Memory,Recogntion memory performance indicated by hits minus false alarms.,"Cortese, M. J., Khanna, M. M., & Hacker, S. (2010). Recognition memory for 2,578 monosyllabic words. Memory, 18(6), 595-609; Cortese, M. J., McCarty, D. P., & Schock, J. (2015). A mega recognition memory study of 2897 disyllabic words. Quarterly Journal of Experimental Psychology, 68(8), 1489-1501; Khanna, M. M. and M. J. Cortese (2021). ""How well imageability, concreteness, perceptual strength, and action strength predict recognition memory, lexical decision, and reading aloud performance."" Memory: 1-15.",recognition_memory,,numeric,4743
Vision_Binder,Vision ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Bright_Binder,Bright ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Dark_Binder,Dark ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Color_Binder,Color ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Pattern_Binder,Pattern ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Large_Binder,Large ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Small_Binder,Small ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Motion_Binder,Motion ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,compo_attribs,numeric,534
Biomotion_Binder,Biomotion ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,compo_attribs,numeric,534
Fast_Binder,Fast ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Slow_Binder,Slow ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Shape_Binder,Shape ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Complexity_Binder,Complexity ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,434
Face_Binder,Face ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,compo_attribs,numeric,534
Body_Binder,Body ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,compo_attribs,numeric,534
Touch_Binder,Touch ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",motor,compo_attribs,numeric,534
Temperature_Binder,Temperature ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Texture_Binder,Texture ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Weight_Binder,Weight ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Pain_Binder,Pain ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,compo_attribs,numeric,534
Audition_Binder,Audition ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Loud_Binder,Loud ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Low_Binder,Low ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
High_Binder,High ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Sound_Binder,Sound ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Music_Binder,Music ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Speech_Binder,Speech ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,compo_attribs,numeric,534
Taste_Binder,Taste ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Smell_Binder,Smell ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",sensory,compo_attribs,numeric,534
Head_Binder,Head ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",motor,compo_attribs,numeric,534
UpperLimb_Binder,UpperLimb ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",motor,compo_attribs,numeric,534
LowerLimb_Binder,LowerLimb ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",motor,compo_attribs,numeric,534
Practice_Binder,Practice ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",familiarity,compo_attribs,numeric,495
Landmark_Binder,Landmark ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Path_Binder,Path ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Scene_Binder,Scene ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Near_Binder,Near ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Toward_Binder,Toward ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Away_Binder,Away ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Number_Binder,Number ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Time_Binder,Time ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Duration_Binder,Duration ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Long_Binder,Long ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Short_Binder,Short ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Caused_Binder,Caused ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,495
Consequential_Binder,Consequential ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",space/time/quantity,compo_attribs,numeric,534
Social_Binder,Social ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",social/moral,compo_attribs,numeric,534
Human_Binder,Human ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,compo_attribs,numeric,534
Communication_Binder,Communication ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",social/moral,compo_attribs,numeric,534
Self_Binder,Self ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",social/moral,compo_attribs,numeric,534
Cognition_Binder,Cognition ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",animacy,compo_attribs,numeric,534
Benefit_Binder,Benefit ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",social/moral,compo_attribs,numeric,534
Harm_Binder,Harm ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",social/moral,compo_attribs,numeric,534
Pleasant_Binder,Pleasant ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",valence,compo_attribs,numeric,534
Unpleasant_Binder,Unpleasant ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",valence,compo_attribs,numeric,534
Happy_Binder,Happy ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,compo_attribs,numeric,534
Sad_Binder,Sad ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,compo_attribs,numeric,534
Angry_Binder,Angry ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,compo_attribs,numeric,534
Disgusted_Binder,Disgusted ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,compo_attribs,numeric,534
Fearful_Binder,Fearful ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,compo_attribs,numeric,534
Surprised_Binder,Surprised ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",emotion,compo_attribs,numeric,534
Drive_Binder,Drive ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",goals/needs,compo_attribs,numeric,534
Needs_Binder,Needs ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",goals/needs,compo_attribs,numeric,534
Attention_Binder,Attention ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",arousal,compo_attribs,numeric,534
Arousal_Binder,Arousal ratings on a scale from 0 (Not at all) to 6 (very much).,"Binder, J. R., Conant, L. L., Humphries, C. J., Fernandino, L., Simons, S. B., Aguilar, M., & Desai, R. H. (2016). Toward a brain-based componential semantic representation. Cognitive neuropsychology, 33(3-4), 130-174.",arousal,compo_attribs,numeric,534
goals_wilkowski,"Extent to which each word represents a goal of the participants, from -4 (""I have an extremely strong commitment to avoiding this"") to 0 (""I have no commitment to this"") to +4 (“Ihave an extremely strong commitment to this"")","@article{wilkowski2020lexical,
  title={Lexical derivation of the PINT taxonomy of goals: Prominence, inclusiveness, negativity prevention, and tradition.},
  author={Wilkowski, Benjamin M and Fetterman, Adam and Lappi, Shaun K and Williamson, Laverl Z and Leki, Elizabeth Ferguson and Rivera, Emilio and Meier, Brian P},
  journal={Journal of Personality and Social Psychology},
  volume={119},
  number={5},
  pages={1153},
  year={2020},
  publisher={American Psychological Association}
}",goals/needs,,numeric,1060
familiarity_lyn,Proportion of participants that were familiar withthe meaning of the word (0-100%),"@article{lynott2009modality,
  title={Modality exclusivity norms for 423 object properties},
  author={Lynott, Dermot and Connell, Louise},
  journal={Behavior research methods},
  volume={41},
  number={2},
  pages={558--564},
  year={2009},
  publisher={Springer}
}",familiarity,,numeric,423
visual_lyn,Mean rating (0–5) of how strongly property is experienced by seeing,"@article{lynott2009modality,
  title={Modality exclusivity norms for 423 object properties},
  author={Lynott, Dermot and Connell, Louise},
  journal={Behavior research methods},
  volume={41},
  number={2},
  pages={558--564},
  year={2009},
  publisher={Springer}
}",sensory,,numeric,423
haptic_lyn,Mean rating (0–5) of how strongly property is experienced by feeling through touch,"@article{lynott2009modality,
  title={Modality exclusivity norms for 423 object properties},
  author={Lynott, Dermot and Connell, Louise},
  journal={Behavior research methods},
  volume={41},
  number={2},
  pages={558--564},
  year={2009},
  publisher={Springer}
}",sensory,,numeric,423
auditory_lyn,Mean rating (0–5) of how strongly property is experienced by hearing,"@article{lynott2009modality,
  title={Modality exclusivity norms for 423 object properties},
  author={Lynott, Dermot and Connell, Louise},
  journal={Behavior research methods},
  volume={41},
  number={2},
  pages={558--564},
  year={2009},
  publisher={Springer}
}",sensory,,numeric,423
olfactory_lyn,Mean rating (0–5) of how strongly property is experienced by smelling,"@article{lynott2009modality,
  title={Modality exclusivity norms for 423 object properties},
  author={Lynott, Dermot and Connell, Louise},
  journal={Behavior research methods},
  volume={41},
  number={2},
  pages={558--564},
  year={2009},
  publisher={Springer}
}",sensory,,numeric,423
gustatory_lyn,Mean rating (0–5) of how strongly property is experienced by tasting,"@article{lynott2009modality,
  title={Modality exclusivity norms for 423 object properties},
  author={Lynott, Dermot and Connell, Louise},
  journal={Behavior research methods},
  volume={41},
  number={2},
  pages={558--564},
  year={2009},
  publisher={Springer}
}",sensory,,numeric,423
dominant_modality_lyn,"Modality through which property is experienced most strongly (i.e., with highest strength rating)","@article{lynott2009modality,
  title={Modality exclusivity norms for 423 object properties},
  author={Lynott, Dermot and Connell, Louise},
  journal={Behavior research methods},
  volume={41},
  number={2},
  pages={558--564},
  year={2009},
  publisher={Springer}
}",sensory,,multiclass,423
imagery_toronto,"Ease with which word arouses mental images, where (1) is low imagery and (7) is high imagery","@article{friendly1982toronto,
  title={The Toronto Word Pool: Norms for imagery, concreteness, orthographic variables, and grammatical usage for 1,080 words},
  author={Friendly, Michael and Franklin, Patricia E and Hoffman, David and Rubin, David C},
  journal={Behavior Research Methods \& Instrumentation},
  volume={14},
  number={4},
  pages={375--399},
  year={1982},
  publisher={Springer}
}",imageability,,numeric,1093
concreteness_toronto,"Level of abstraction, where (1) is abstract and (7) is concrete. ","@article{friendly1982toronto,
  title={The Toronto Word Pool: Norms for imagery, concreteness, orthographic variables, and grammatical usage for 1,080 words},
  author={Friendly, Michael and Franklin, Patricia E and Hoffman, David and Rubin, David C},
  journal={Behavior Research Methods \& Instrumentation},
  volume={14},
  number={4},
  pages={375--399},
  year={1982},
  publisher={Springer}
}",concreteness,,numeric,1093
